timestamp,percent,state,seconds_left,,,
2025-08-31 14:46,60,Discharging,No,4294967295,12606,
2025-08-31 14:47,59,Discharging,No,4294967295,6198,
2025-08-31 14:47,59,Discharging,No,4294967295,12396,
2025-08-31 14:48,59,Discharging,No,4294967295,12395,
2025-08-31 14:48,58,Discharging,No,4294967295,6092,
2025-08-31 14:49,58,Discharging,No,4294967295,6092,
2025-08-31 14:49,57,Discharging,No,4294967295,3992,
2025-08-31 14:50,57,Discharging,No,4294967295,3992,
2025-08-31 14:50,57,Discharging,No,4294967295,5987,
2025-08-31 14:51,56,Discharging,No,4294967295,3921,
2025-08-31 14:51,56,Discharging,No,4294967295,3922,
2025-08-31 14:52,56,Discharging,No,4294967295,5884,
2025-08-31 14:52,55,Discharging,No,4294967295,3852,
2025-08-31 14:53,55,Discharging,No,4294967295,5778,
2025-08-31 14:53,55,Discharging,No,4294967295,5778,
2025-08-31 14:54,55,Discharging,No,4294967295,5778,
2025-08-31 14:54,54,Discharging,No,4294967295,5673,
2025-08-31 14:55,54,Discharging,No,4294967295,5673,
2025-08-31 14:55,54,Discharging,No,4294967295,5672,
2025-08-31 14:56,54,Discharging,No,4294967295,11345,
2025-08-31 14:56,54,Discharging,No,4294967295,11345,
2025-08-31 14:57,53,Discharging,No,4294967295,5567,
2025-08-31 14:57,53,Discharging,No,4294967295,5567,
2025-08-31 14:58,53,Discharging,No,4294967295,11134,
2025-08-31 14:58,53,Discharging,No,4294967295,11134,
2025-08-31 14:59,52,Discharging,No,4294967295,5462,
2025-08-31 14:59,52,Discharging,No,4294967295,5462,
2025-08-31 15:00,52,Discharging,No,4294967295,5462,
2025-08-31 15:00,52,Discharging,No,4294967295,10924,
2025-08-31 15:01,51,Discharging,No,4294967295,5357,
2025-08-31 15:01,51,Discharging,No,4294967295,5357,
2025-08-31 15:02,50,Discharging,No,4294967295,3502,
2025-08-31 15:02,50,Discharging,No,4294967295,5253,
2025-08-31 15:03,50,Discharging,No,4294967295,5253,
2025-08-31 15:03,50,Discharging,No,4294967295,5253,
2025-08-31 15:04,49,Discharging,No,4294967295,3432,
2025-08-31 15:04,49,Discharging,No,4294967295,5148,
2025-08-31 15:05,49,Discharging,No,4294967295,5147,
2025-08-31 15:05,49,Discharging,No,4294967295,10294,
2025-08-31 15:06,48,Discharging,No,4294967295,5042,
2025-08-31 15:06,48,Discharging,No,4294967295,5042,
2025-08-31 15:07,48,Discharging,No,4294967295,5042,
2025-08-31 15:07,48,Discharging,No,4294967295,10084,
2025-08-31 15:08,48,Discharging,No,4294967295,10084,
2025-08-31 15:08,48,Discharging,No,4294967295,10084,
2025-08-31 15:09,47,Discharging,No,4294967295,4937,
2025-08-31 15:09,47,Discharging,No,4294967295,9874,
2025-08-31 15:10,47,Discharging,No,4294967295,9874,
2025-08-31 15:10,47,Discharging,No,4294967295,9874,
2025-08-31 15:11,47,Discharging,No,4294967295,9874,
2025-08-31 15:11,46,Discharging,No,4294967295,4831,
2025-08-31 15:12,46,Discharging,No,4294967295,4831,
2025-08-31 15:12,46,Discharging,No,4294967295,9663,
2025-08-31 15:13,46,Discharging,No,4294967295,9663,
2025-08-31 15:13,46,Discharging,No,4294967295,9663,
2025-08-31 15:14,46,Discharging,No,4294967295,9663,
2025-08-31 15:14,46,Discharging,No,4294967295,9663,
2025-08-31 15:15,45,Discharging,No,4294967295,9452,
2025-08-31 15:15,45,Discharging,No,4294967295,9452,
2025-08-31 15:16,45,Discharging,No,4294967295,9452,
2025-08-31 15:16,45,Discharging,No,4294967295,9452,
2025-08-31 15:17,44,Discharging,No,4294967295,4621,
2025-08-31 15:17,44,Discharging,No,4294967295,4621,
2025-08-31 15:18,44,Discharging,No,4294967295,4621,
2025-08-31 15:18,44,Discharging,No,4294967295,9243,
2025-08-31 15:19,44,Discharging,No,4294967295,9243,
2025-08-31 15:19,43,Discharging,No,4294967295,4516,
2025-08-31 15:20,43,Discharging,No,4294967295,4517,
2025-08-31 15:20,43,Discharging,No,4294967295,9034,
2025-08-31 15:21,42,Discharging,No,4294967295,4412,
2025-08-31 15:21,42,Discharging,No,4294967295,4412,
2025-08-31 15:22,42,Discharging,No,4294967295,4412,
2025-08-31 15:22,42,Discharging,No,4294967295,4411,
2025-08-31 15:23,41,Discharging,No,4294967295,4306,
2025-08-31 15:23,41,Discharging,No,4294967295,4306,
2025-08-31 15:24,41,Discharging,No,4294967295,4306,
2025-08-31 15:24,41,Discharging,No,4294967295,8612,
2025-08-31 15:25,41,Discharging,No,4294967295,8612,
2025-08-31 15:25,41,Discharging,No,4294967295,8612,
2025-08-31 15:26,40,Discharging,No,4294967295,4201,
2025-08-31 15:26,40,Discharging,No,4294967295,8402,
2025-08-31 15:27,40,Discharging,No,4294967295,8402,
2025-08-31 15:27,40,Discharging,No,4294967295,8403,
2025-08-31 15:28,40,Discharging,No,4294967295,8403,
2025-08-31 15:28,39,Discharging,No,4294967295,4096,
2025-08-31 15:29,39,Discharging,No,4294967295,4096,
2025-08-31 15:29,39,Discharging,No,4294967295,8194,
